Unnamed: 0,text,rating,category,product_name,product_id,sold,shop_id,product_url
3253,thanks..... .................................,4,elektronik,Rexco 18 Contact Cleaner / Pembersih Komponen elektronik 500ml,184464874,29,2100844,https://www.tokopedia.com/miniperkakas/rexco-18-contact-cleaner-pembersih-komponen-elektronik-500ml
3559,oke barang sudah di terima dengan baik...,4,elektronik,Alfalink EI 428 - Kamus Elektronik Electronic Dictionary ei-428,24896339,283,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-428-kamus-elektronik-electronic-dictionary-ei-428
3131,"brg udh dtg #pontianak dgn slmat gan, mksih..",5,elektronik,Alfalink EI 212 - Kamus Elektronik,20602038,383,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-212-kamus-elektronik
3658,Cepat dan tepat! Recommended seller,5,elektronik,TI-84 Plus CE,38187136,53,844505,https://www.tokopedia.com/datasempoa/ti-84-plus-ce
3252,"mantaf,. langsung test.. residu hilang
kiriman agak lambat soalnya minta yes, ternyata Yakin Esok 2 hari Sampai. 
ov",4,elektronik,Rexco 18 Contact Cleaner / Pembersih Komponen elektronik 500ml,184464874,29,2100844,https://www.tokopedia.com/miniperkakas/rexco-18-contact-cleaner-pembersih-komponen-elektronik-500ml
3309,Barang cepst sampe dan paking bsgus,5,elektronik,Fast Drying Contact Cleaner WD40 WD 40 200ml 200 ml elektronik Special,323937547,101,2720728,https://www.tokopedia.com/eagles/fast-drying-contact-cleaner-wd40-wd-40-200ml-200-ml-elektronik-special
3350,barang bagus semoga bisa laku di jua.l bisa minta tolong pengiriman lewat pos,5,elektronik,Alfalink EI 16 S - Kamus Elektronik,20466956,183,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-16-s-kamus-elektronik
3221,"Paket sudah diterima dgn baik, terimakasih..",5,elektronik,kotak plastik modul elektronik diy box enclosure module 130x45x25mm,114138091,42,156829,https://www.tokopedia.com/electronice/kotak-plastik-modul-elektronik-diy-box-enclosure-module-130x45x25mm
3292,sudah di trima gan.. trimakasaih. sesuai harapan .,5,elektronik,Lemari RAK KOMPONEN Elektronik Grosir dan Ecer &#40;Sinar Indah Produk&#41;,19120586,145,293276,https://www.tokopedia.com/richard1689/lemari-rak-komponen-elektronik-grosir-dan-ecer-sinar-indah-produk
3059,Product sesuaii dan pengiriman cepatt! Thank you!,5,elektronik,Alfalink EI 212 - Kamus Elektronik,20602038,383,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-212-kamus-elektronik
3312,bagus...............................,4,elektronik,Fast Drying Contact Cleaner WD40 WD 40 200ml 200 ml elektronik Special,323937547,101,2720728,https://www.tokopedia.com/eagles/fast-drying-contact-cleaner-wd40-wd-40-200ml-200-ml-elektronik-special
3372,mantaaaappp gan! recommended seller :) ;),5,elektronik,Alfalink EI 16 S - Kamus Elektronik,20466956,183,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-16-s-kamus-elektronik
3176,Barang sudah diterima tp nota yg saya minta ga diberikan,5,elektronik,Alfalink EI 21SE - Kamus Elektronik Electronic Dictionary EI-21SE,24896850,148,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-21se-kamus-elektronik-electronic-dictionary-ei-21se
3098,"Bagus untuk produknya, tapi sangat disayangkan untuk system pengiriman di Go Send trouble, sehingga barang yg diperkirakan tiba jam 13.54, jam 20.10 ternyata tibanya, Sehingga utk keseluruhan tentunya agak mengecewakan",5,elektronik,Alfalink EI 212 - Kamus Elektronik,20602038,383,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-212-kamus-elektronik
3648,"harga ok, barnag ok, seller respon cepat",5,elektronik,TI-84 Plus CE,38187136,53,844505,https://www.tokopedia.com/datasempoa/ti-84-plus-ce
3060,"Alfalinknya kecil,imut2",5,elektronik,Alfalink EI 212 - Kamus Elektronik,20602038,383,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-212-kamus-elektronik
3568,"Pengiriman cepat,, mantab barangnya",5,elektronik,Co Contact Cleaner / Pembersih Komponen Elektronik 2016M 520 ML - CRC,100761432,28,155590,https://www.tokopedia.com/proquillid/co-contact-cleaner-pembersih-komponen-elektronik-2016m-520-ml-crc
3500,"barang bagus, murah, dan cepat sampai",5,elektronik,Alfalink EI 428 - Kamus Elektronik Electronic Dictionary ei-428,24896339,283,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-428-kamus-elektronik-electronic-dictionary-ei-428
3581,barang sudah saya terima...,5,elektronik,CRC Co Contact Cleaner 525 ML - Pembersih Electrical-Elektronik 2016,187801428,47,155590,https://www.tokopedia.com/proquillid/crc-co-contact-cleaner-525-ml-pembersih-electrical-elektronik-2016
3300,terima kasih pak barang sampai dengan selamat kwalitas oke!!!,5,elektronik,Lemari RAK KOMPONEN Elektronik Grosir dan Ecer &#40;Sinar Indah Produk&#41;,19120586,145,293276,https://www.tokopedia.com/richard1689/lemari-rak-komponen-elektronik-grosir-dan-ecer-sinar-indah-produk
3150,paketnya sudah sampai tepat waktu. packingnya rapi. fast respon juga waktu nanya2.. trima kasihh,5,elektronik,Alfalink EI 212 - Kamus Elektronik,20602038,383,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-212-kamus-elektronik
3405,barang bagus cuma tidak sesuai pesanan saya pesen warna biru datang warna kuning.. tpp gpp makasih gan..,3,elektronik,Alfalink EI 215 - Kamus Elektronik Alfalink EI-215,38011778,204,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-215-kamus-elektronik-alfalink-ei-215
3575,Danke gan..........................,5,elektronik,Co Contact Cleaner / Pembersih Komponen Elektronik 2016M 520 ML - CRC,100761432,28,155590,https://www.tokopedia.com/proquillid/co-contact-cleaner-pembersih-komponen-elektronik-2016m-520-ml-crc
3362,"pas warna pink. tidak mengecewakan. thanks, ya.",5,elektronik,Alfalink EI 16 S - Kamus Elektronik,20466956,183,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-16-s-kamus-elektronik
3504,"goooood Thanks, sesuai gambar.....",5,elektronik,Alfalink EI 428 - Kamus Elektronik Electronic Dictionary ei-428,24896339,283,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-428-kamus-elektronik-electronic-dictionary-ei-428
3593,Makasih ya paket sudah datang,5,elektronik,pompa pembersih elektronik pembersih debu ukuran small,351555344,9,1090739,https://www.tokopedia.com/tynochenot/pompa-pembersih-elektronik-pembersih-debu-ukuran-small
3266,"Yaah untuk harga 10ribuan lumayan laah, terjangkau.. mudah2an aweet",4,elektronik,Obeng set HP multi 31 in 1 Screwdriver handphone elektronik Laptop PC,448627491,159,4714314,https://www.tokopedia.com/yayanacc/obeng-set-hp-multi-31-in-1-screwdriver-handphone-elektronik-laptop-pc
3307,Barang sesuai dengan yg ada di iklan,5,elektronik,Fast Drying Contact Cleaner WD40 WD 40 200ml 200 ml elektronik Special,323937547,101,2720728,https://www.tokopedia.com/eagles/fast-drying-contact-cleaner-wd40-wd-40-200ml-200-ml-elektronik-special
3072,Barang sesuai gambar reseller fast respon cocok lah buat langganan 😊,4,elektronik,Alfalink EI 212 - Kamus Elektronik,20602038,383,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-212-kamus-elektronik
3558,"siph... mantabh,,, easy to use for children",5,elektronik,Alfalink EI 428 - Kamus Elektronik Electronic Dictionary ei-428,24896339,283,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-428-kamus-elektronik-electronic-dictionary-ei-428
3220,Barang sudah diterima dan sesuai dengan deskripsi produk. trims,5,elektronik,kotak plastik modul elektronik diy box enclosure module 130x45x25mm,114138091,42,156829,https://www.tokopedia.com/electronice/kotak-plastik-modul-elektronik-diy-box-enclosure-module-130x45x25mm
3163,Barang sudah diterima karyawan saya semua thanks gan atas bantuannya Recomended,5,elektronik,QD Electronic Cleaner / Pembersih Elektronik 05101 4.5 OZ / 133 ML CRC,87088678,16,155590,https://www.tokopedia.com/proquillid/qd-electronic-cleaner-pembersih-elektronik-05101-45-oz-133-ml-crc
3166,Pengiriman cepat namun ada goresan di layar,4,elektronik,Alfalink EI 21SE - Kamus Elektronik Electronic Dictionary EI-21SE,24896850,148,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-21se-kamus-elektronik-electronic-dictionary-ei-21se
3420,"cepat banget sampainya, barangnya ok",5,elektronik,Alfalink EI 215 - Kamus Elektronik Alfalink EI-215,38011778,204,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-215-kamus-elektronik-alfalink-ei-215
3213,Produk oke...........,4,elektronik,Electronic Tools Set - Toolset Elektronik - Dekko DT-20 Korea,214203188,10,1707586,https://www.tokopedia.com/promonet/electronic-tools-set-toolset-elektronik-dekko-dt-20-korea-5a15
3644,biarkan bintang berbicara,5,elektronik,TI-84 Plus CE,38187136,53,844505,https://www.tokopedia.com/datasempoa/ti-84-plus-ce
3141,Terimaaa kasiiihhh pesanan dtg disaat yg tepat,5,elektronik,Alfalink EI 212 - Kamus Elektronik,20602038,383,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-212-kamus-elektronik
3408,oke fast response. smoga sukses!,5,elektronik,Alfalink EI 215 - Kamus Elektronik Alfalink EI-215,38011778,204,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-215-kamus-elektronik-alfalink-ei-215
3413,barang nya sdh diterima dengan baik tks gan,5,elektronik,Alfalink EI 215 - Kamus Elektronik Alfalink EI-215,38011778,204,588756,https://www.tokopedia.com/omegaelectronic/alfalink-ei-215-kamus-elektronik-alfalink-ei-215
